FrequeE-9cy(Hz)	Temperature(C)	D-Factor(D)	CapacitaE-9ce(F)	ImpedaE-9ce(Ohm)
20	26	0.039498	1.299850n	6.117275M
20	28	0.035745	1.275665n	6.234129M
20	30	0.031235	1.240651n	6.411076M
20	32	0.027282	1.195090n	6.656203M
20	34	0.025117	1.145928n	6.942167M
20	36	0.024077	1.109503n	7.170248M
20	38	0.020878	1.067113n	7.455254M
20	40	0.022657	1.032267n	7.707115M
20	42	0.024207	0.992359n	8.017070M
20	44	0.021747	0.959394n	8.293573M
20	46	0.022023	0.920796n	8.640296M
20	48	0.020866	0.886586n	8.973771M
20	50	0.017734	0.854751n	9.308040M
20	52	0.020146	0.823211n	9.664753M
20	54	0.019836	0.795149n	10.005930M
20	56	0.018102	0.766776n	10.376210M
20	58	0.019345	0.740739n	10.740980M
20	60	0.019123	0.715578n	11.118690M
20	62	0.018876	0.692216n	11.493980M
20	64	0.018727	0.669383n	11.886140M
20	66	0.018659	0.650632n	12.228050M
20	68	0.018610	0.629070n	12.647830M
20	70	0.025575	0.610015n	13.042940M
20	72	0.018755	0.591928n	13.441470M
20	74	0.014685	0.573863n	13.864530M
20	76	0.018935	0.557176n	14.279670M
20	78	0.019486	0.541477n	14.693630M
20	80	0.019646	0.526363n	15.115440M
20	82	0.020366	0.511998n	15.539270M
20	84	0.021224	0.498965n	15.944960M
20	86	0.017379	0.486830n	16.343440M
20	88	0.018606	0.473873n	16.790130M
20	90	0.024551	0.462997n	17.184130M
20	92	0.026062	0.453460n	17.543140M
20	94	0.028186	0.443612n	17.931500M
20	96	0.030216	0.434250n	18.316790M
20	98	0.032585	0.425976n	18.671390M
20	100	0.035662	0.417211n	19.061860M
20	102	0.042532	0.409845n	19.402470M
20	104	0.047119	0.404365n	19.662260M
20	106	0.044668	0.394855n	20.133660M
20	108	0.048793	0.387394n	20.517270M
20	110	0.053426	0.380502n	20.876880M
20	112	0.064868	0.373490n	21.269290M
20	114	0.064700	0.367090n	21.632550M
20	116	0.071918	0.360780n	22.000990M
20	118	0.080111	0.356456n	22.260080M
20	120	0.089589	0.348902n	22.703160M
20	122	0.100437	0.340589n	23.236340M
20	124	0.112480	0.337002n	23.465200M
20	126	0.136248	0.331680n	23.803990M
20	128	0.142386	0.326428n	24.136940M
20	130	0.159830	0.324093n	24.250700M
20	132	0.180114	0.317477n	24.636380M
20	134	0.194060	0.311839n	25.010950M
20	136	0.224981	0.307435n	25.234960M
20	138	0.266543	0.303213n	25.424120M
20	140	0.289834	0.301159n	25.381520M
20	142	0.346298	0.295065n	25.636310M
20	144	0.367124	0.291406n	25.642500M
20	146	0.409910	0.287912n	25.554400M
20	148	0.455903	0.284884n	25.364120M
20	150	0.519031	0.284157n	24.955310M
20	152	0.580219	0.277144n	24.845350M
20	154	0.647021	0.279424n	24.119420M
20	156	0.723093	0.274627n	23.492860M
20	158	0.827074	0.272943n	22.756350M
20	160	0.891374	0.273510n	21.781610M
20	162	0.976824	0.270532n	20.983120M
20	164	1.088049	0.269982n	19.955100M
20	166	1.183606	0.270075n	18.912250M
20	168	1.321186	0.270603n	17.783980M
20	170	1.418503	0.271195n	16.783850M
20	172	1.575240	0.273997n	15.592090M
20	174	1.728314	0.274711n	14.607210M
20	176	1.851494	0.280412n	13.498150M
20	178	1.998179	0.286835n	12.545770M
20	180	2.114361	0.290867n	11.546790M
20	182	2.282465	0.298365n	10.710860M
20	184	2.420429	0.306989n	9.910147M
20	186	2.556631	0.317260n	9.144867M
20	188	2.704168	0.326868n	8.450338M
20	190	2.811233	0.341213n	7.795234M
20	192	2.921759	0.356340n	7.211790M
20	194	3.031813	0.374334n	6.678420M
20	196	3.116935	0.398329n	6.166810M
20	198	3.179954	0.418401n	5.706780M
20	200	3.248202	0.442664n	5.289562M
30	26	0.032414	1.292952n	4.100981M
30	28	0.029404	1.268311n	4.181032M
30	30	0.027804	1.234064n	4.297502M
30	32	0.022605	1.189621n	4.458398M
30	34	0.020776	1.141376n	4.647039M
30	36	0.019853	1.105234n	4.799085M
30	38	0.019116	1.063240n	4.988716M
30	40	0.018523	1.026451n	5.167561M
30	42	0.018069	0.989020n	5.363192M
30	44	0.017626	0.952521n	5.568742M
30	46	0.017132	0.917847n	5.779160M
30	48	0.016845	0.883855n	6.001460M
30	50	0.016471	0.852113n	6.225048M
30	52	0.016066	0.820858n	6.462101M
30	54	0.015781	0.792628n	6.692305M
30	56	0.015505	0.764505n	6.938512M
30	58	0.015293	0.738550n	7.182376M
30	60	0.014944	0.709383n	7.478113M
30	62	0.014851	0.690227n	7.685256M
30	64	0.017023	0.667734n	7.944154M
30	66	0.014655	0.650393n	8.156157M
30	68	0.014597	0.622782n	8.517106M
30	70	0.014578	0.608432n	8.718482M
30	72	0.014578	0.590512n	8.983048M
30	74	0.014736	0.572552n	9.264820M
30	76	0.014882	0.556035n	9.540013M
30	78	0.015134	0.540187n	9.819852M
30	80	0.015384	0.524894n	10.105910M
30	82	0.015738	0.510773n	10.385250M
30	84	0.016340	0.497636n	10.659310M
30	86	0.017016	0.484923n	10.938650M
30	88	0.020123	0.473592n	11.200230M
30	90	0.018779	0.461715n	11.488120M
30	92	0.019885	0.452215n	11.729170M
30	94	0.021334	0.442277n	11.992360M
30	96	0.023194	0.439739n	12.056790M
30	98	0.024817	0.424585n	12.491110M
30	100	0.032465	0.416059n	12.746420M
30	102	0.028919	0.408510n	12.981190M
30	104	0.031071	0.400778n	13.230750M
30	106	0.033438	0.394545n	13.443500M
30	108	0.028073	0.386236n	13.726480M
30	110	0.039539	0.379255n	13.977510M
30	112	0.043095	0.372354n	14.234450M
30	114	0.047153	0.365949n	14.481080M
30	116	0.051924	0.359676n	14.730030M
30	118	0.057355	0.353371n	14.988540M
30	120	0.063689	0.347322n	15.243700M
30	122	0.071210	0.341422n	15.499330M
30	124	0.085451	0.335805n	15.748750M
30	126	0.088494	0.330469n	15.991000M
30	128	0.099345	0.325097n	16.238660M
30	130	0.108139	0.317364n	16.604190M
30	132	0.132629	0.312914n	16.806410M
30	134	0.140596	0.310552n	16.917260M
30	136	0.158185	0.305928n	17.128430M
30	138	0.177418	0.301639n	17.317520M
30	140	0.200079	0.298749n	17.472060M
30	142	0.224782	0.293315n	17.647700M
30	144	0.252195	0.289540n	17.768650M
30	146	0.283207	0.285783n	17.863080M
